Name,LapTime
HUL (Lap 1),84.571
LEC (Lap 1),88.155
BEA (Lap 1),84.057
HAD (Lap 1),77.121
SAI (Lap 1),90.972
BOR (Lap 1),85.015
HAM (Lap 1),87.654
COL (Lap 1),87.657
ANT (Lap 1),77.334
BOT (Lap 1),91.826
COL (Lap 2),83.974
ANT (Lap 2),86.052
RUS (Lap 1),85.204
ALO (Lap 1),84.176
SAI (Lap 2),78.704
ANT (Lap 3),89.411
OCO (Lap 1),84.871
STR (Lap 1),86.421
HAD (Lap 2),80.178
PER (Lap 1),91.319
BEA (Lap 2),78.716
PER (Lap 2),87.300
RUS (Lap 2),78.952
PER (Lap 3),82.044
LEC (Lap 2),82.596
GAS (Lap 1),91.927
ALO (Lap 2),87.964
ALB (Lap 1),77.394
NOR (Lap 1),88.991
PIA (Lap 1),85.367
GAS (Lap 2),92.816
HAM (Lap 2),82.195
HAD (Lap 3),90.896
BOT (Lap 2),86.167
HAD (Lap 4),89.944
GAS (Lap 3),87.188
HUL (Lap 2),85.869
HUL (Lap 3),82.311
PIA (Lap 2),79.961
VER (Lap 1),78.990
ALO (Lap 3),91.559
BOR (Lap 2),89.849
HAM (Lap 3),81.800
BOR (Lap 3),88.440
PIA (Lap 3),90.352
NOR (Lap 2),87.481
PER (Lap 4),86.322
LAW (Lap 1),78.566
PER (Lap 5),84.834
VER (Lap 2),92.171
STR (Lap 2),83.692
HAD (Lap 5),88.769
STR (Lap 3),82.537
OCO (Lap 2),87.158
GAS (Lap 4),84.012
HAM (Lap 4),77.285
PER (Lap 6),82.374
LEC (Lap 3),84.715
NOR (Lap 3),78.449
HAD (Lap 6),85.934
RUS (Lap 3),84.442
HAM (Lap 5),80.679
ANT (Lap 4),85.096
OCO (Lap 3),87.915
SAI (Lap 3),88.894
RUS (Lap 4),83.861
BOT (Lap 3),88.093
PER (Lap 7),88.342
ANT (Lap 5),79.498
GAS (Lap 5),87.298
