Name,LapTime
STR (Lap 1),89.019
HAD (Lap 1),82.207
SAI (Lap 1),91.303
BEA (Lap 1),88.775
BOR (Lap 1),91.145
PIA (Lap 1),85.516
NOR (Lap 1),91.775
ALO (Lap 1),79.141
SAI (Lap 2),88.824
OCO (Lap 1),79.387
BOT (Lap 1),82.612
SAI (Lap 3),82.671
OCO (Lap 2),92.209
NOR (Lap 2),83.316
ALB (Lap 1),78.118
HAM (Lap 1),77.113
BOT (Lap 2),86.355
LAW (Lap 1),91.543
RUS (Lap 1),78.563
BOR (Lap 2),82.191
ALB (Lap 2),80.063
BOT (Lap 3),84.310
NOR (Lap 3),92.713
LAW (Lap 2),91.328
LAW (Lap 3),82.002
BOR (Lap 3),82.906
LEC (Lap 1),86.475
LAW (Lap 4),80.970
LAW (Lap 5),79.390
NOR (Lap 4),87.215
NOR (Lap 5),82.644
ALB (Lap 3),87.859
LEC (Lap 2),92.911
RUS (Lap 2),92.385
NOR (Lap 6),92.496
LAW (Lap 6),92.112
ALB (Lap 4),78.883
HAM (Lap 2),85.142
GAS (Lap 1),80.981
STR (Lap 2),89.847
PER (Lap 1),86.527
COL (Lap 1),83.876
LIN (Lap 1),83.053
HAM (Lap 3),84.181
STR (Lap 3),91.124
PIA (Lap 2),83.236
SAI (Lap 4),80.549
BOT (Lap 4),89.006
LAW (Lap 7),88.583
BOT (Lap 5),92.649
LAW (Lap 8),87.777
GAS (Lap 2),84.026
HUL (Lap 1),92.481
RUS (Lap 3),91.857
HAM (Lap 4),87.982
BOT (Lap 6),81.199
RUS (Lap 4),78.028
BOR (Lap 4),84.275
VER (Lap 1),87.522
ANT (Lap 1),88.603
VER (Lap 2),90.378
NOR (Lap 7),90.254
VER (Lap 3),87.841
LIN (Lap 2),86.664
PER (Lap 2),92.677
LEC (Lap 3),84.463
NOR (Lap 8),84.678
ALO (Lap 2),81.401
HUL (Lap 2),90.986
HAM (Lap 5),90.752
HAM (Lap 6),79.937
PIA (Lap 3),87.312
OCO (Lap 3),79.487
SAI (Lap 5),81.327
LAW (Lap 9),87.048
NOR (Lap 9),81.314
OCO (Lap 4),85.973
PIA (Lap 4),92.828
LAW (Lap 10),79.733
COL (Lap 2),81.221
