Name,LapTime
STR (Lap 1),77.242
HUL (Lap 1),91.522
LEC (Lap 1),84.015
NOR (Lap 1),85.937
BOR (Lap 1),84.295
ANT (Lap 1),82.300
ANT (Lap 2),86.497
PER (Lap 1),79.407
ALO (Lap 1),85.280
LEC (Lap 2),85.130
ALB (Lap 1),78.143
OCO (Lap 1),87.869
LIN (Lap 1),88.088
NOR (Lap 2),81.695
HAM (Lap 1),79.893
LIN (Lap 2),81.066
HAM (Lap 2),88.705
HUL (Lap 2),82.372
LEC (Lap 3),83.914
GAS (Lap 1),82.896
HAM (Lap 3),81.969
LEC (Lap 4),91.787
LIN (Lap 3),82.603
HUL (Lap 3),78.097
HAD (Lap 1),83.478
COL (Lap 1),88.172
HUL (Lap 4),78.364
BEA (Lap 1),90.965
ANT (Lap 3),84.061
BEA (Lap 2),84.275
STR (Lap 2),81.286
SAI (Lap 1),92.313
RUS (Lap 1),86.219
BEA (Lap 3),82.288
LAW (Lap 1),78.937
NOR (Lap 3),90.416
VER (Lap 1),86.485
BOR (Lap 2),92.014
ANT (Lap 4),77.370
SAI (Lap 2),80.907
BOR (Lap 3),85.473
BOR (Lap 4),85.839
BOR (Lap 5),77.579
STR (Lap 3),87.106
ALB (Lap 2),79.372
ALO (Lap 2),90.164
VER (Lap 2),84.891
GAS (Lap 2),91.491
HAD (Lap 2),85.668
HAD (Lap 3),83.267
STR (Lap 4),78.382
COL (Lap 2),84.825
GAS (Lap 3),91.350
BEA (Lap 4),78.659
LEC (Lap 5),78.050
BOT (Lap 1),83.990
NOR (Lap 4),82.503
RUS (Lap 2),84.007
HAD (Lap 4),85.623
COL (Lap 3),87.176
BEA (Lap 5),84.171
LIN (Lap 4),89.464
OCO (Lap 2),89.404
HAM (Lap 4),86.671
BEA (Lap 6),82.823
BEA (Lap 7),77.907
HUL (Lap 5),85.640
ANT (Lap 5),84.470
GAS (Lap 4),80.694
LEC (Lap 6),92.356
