Name,LapTime
LAW (Lap 1),89.070
LIN (Lap 1),89.434
HAD (Lap 1),85.966
ALO (Lap 1),92.058
PER (Lap 1),90.599
ANT (Lap 1),89.983
RUS (Lap 1),89.338
ANT (Lap 2),89.269
LIN (Lap 2),91.334
PIA (Lap 1),85.005
SAI (Lap 1),81.549
LIN (Lap 3),87.009
ALO (Lap 2),85.426
ALO (Lap 3),92.754
PIA (Lap 2),81.316
LAW (Lap 2),85.386
BEA (Lap 1),88.447
PIA (Lap 3),89.266
OCO (Lap 1),87.240
HAD (Lap 2),79.941
HUL (Lap 1),83.973
HAM (Lap 1),91.972
HAM (Lap 2),77.148
HAM (Lap 3),86.032
HUL (Lap 2),80.090
BOR (Lap 1),90.991
PER (Lap 2),86.750
PIA (Lap 4),77.986
OCO (Lap 2),88.910
ALB (Lap 1),82.465
OCO (Lap 3),90.944
HAD (Lap 3),79.652
LEC (Lap 1),86.030
HAM (Lap 4),84.136
BOT (Lap 1),81.396
ALO (Lap 4),82.927
BOT (Lap 2),89.679
ALB (Lap 2),86.578
NOR (Lap 1),90.877
VER (Lap 1),84.257
ALB (Lap 3),88.355
PIA (Lap 5),85.899
STR (Lap 1),86.590
BEA (Lap 2),91.203
RUS (Lap 2),80.045
BOR (Lap 2),86.271
PIA (Lap 6),81.305
ALB (Lap 4),87.990
NOR (Lap 2),88.698
BOR (Lap 3),86.623
PER (Lap 3),90.185
HAM (Lap 5),87.623
STR (Lap 2),92.755
ALO (Lap 5),85.713
SAI (Lap 2),92.615
HUL (Lap 3),77.265
NOR (Lap 3),86.920
ALB (Lap 5),92.534
PER (Lap 4),85.172
BEA (Lap 3),83.628
ALB (Lap 6),88.171
HAM (Lap 6),83.965
HAD (Lap 4),77.217
BOT (Lap 3),85.430
SAI (Lap 3),78.287
HAM (Lap 7),85.363
LAW (Lap 3),84.622
ALB (Lap 7),90.959
BEA (Lap 4),86.589
BOT (Lap 4),78.510
LEC (Lap 2),77.864
COL (Lap 1),86.888
COL (Lap 2),79.087
SAI (Lap 4),83.040
BOR (Lap 4),80.549
BEA (Lap 5),91.596
HAM (Lap 8),92.124
OCO (Lap 4),79.582
PIA (Lap 7),92.735
PIA (Lap 8),81.439
