Name,LapTime
COL (Lap 1),86.808
PIA (Lap 1),82.687
NOR (Lap 1),90.581
LIN (Lap 1),77.282
NOR (Lap 2),85.933
BEA (Lap 1),87.529
GAS (Lap 1),86.243
BOR (Lap 1),88.838
BEA (Lap 2),87.027
BEA (Lap 3),87.326
OCO (Lap 1),80.454
PER (Lap 1),85.472
ANT (Lap 1),80.240
LIN (Lap 2),85.509
NOR (Lap 3),78.073
STR (Lap 1),86.775
HUL (Lap 1),92.982
STR (Lap 2),87.348
STR (Lap 3),92.271
OCO (Lap 2),77.930
LEC (Lap 1),85.243
LIN (Lap 3),84.730
COL (Lap 2),90.925
HUL (Lap 2),79.464
SAI (Lap 1),81.813
BOR (Lap 2),79.340
HAD (Lap 1),88.383
OCO (Lap 3),79.282
SAI (Lap 2),82.372
HUL (Lap 3),92.113
