Name,LapTime
ALO (Lap 1),78.107
ALB (Lap 1),80.771
SAI (Lap 1),89.608
NOR (Lap 1),92.090
ALB (Lap 2),83.195
PER (Lap 1),83.287
COL (Lap 1),80.579
HAM (Lap 1),90.482
SAI (Lap 2),77.557
OCO (Lap 1),86.904
LAW (Lap 1),79.171
GAS (Lap 1),77.730
STR (Lap 1),85.207
HAM (Lap 2),91.701
HAD (Lap 1),83.407
NOR (Lap 2),83.161
GAS (Lap 2),81.384
OCO (Lap 2),89.804
ALB (Lap 3),83.222
OCO (Lap 3),83.698
HAD (Lap 2),82.395
OCO (Lap 4),86.778
PER (Lap 2),81.933
BEA (Lap 1),79.780
ANT (Lap 1),85.438
ALO (Lap 2),85.499
OCO (Lap 5),90.282
BEA (Lap 2),78.813
ALO (Lap 3),88.723
ALB (Lap 4),77.355
RUS (Lap 1),78.682
BOR (Lap 1),84.846
OCO (Lap 6),87.422
LIN (Lap 1),82.275
BEA (Lap 3),85.729
SAI (Lap 3),85.955
PER (Lap 3),85.261
HUL (Lap 1),86.114
ALB (Lap 5),84.161
BOR (Lap 2),82.022
PER (Lap 4),81.796
HAM (Lap 3),90.641
VER (Lap 1),87.926
ALO (Lap 4),89.388
ALB (Lap 6),81.052
HUL (Lap 2),84.517
ALO (Lap 5),77.594
SAI (Lap 4),78.897
COL (Lap 2),83.387
RUS (Lap 2),79.399
HUL (Lap 3),80.326
ALO (Lap 6),87.323
LAW (Lap 2),79.562
HAM (Lap 4),79.948
STR (Lap 2),88.756
VER (Lap 2),86.286
ALB (Lap 7),78.368
ALB (Lap 8),90.155
BOT (Lap 1),86.213
NOR (Lap 3),84.590
PER (Lap 5),87.846
GAS (Lap 3),80.298
OCO (Lap 7),87.989
LEC (Lap 1),87.715
PER (Lap 6),87.169
OCO (Lap 8),79.645
BOT (Lap 2),83.970
LAW (Lap 3),80.485
ANT (Lap 2),89.720
OCO (Lap 9),83.385
ALO (Lap 7),91.384
PER (Lap 7),83.562
LAW (Lap 4),89.487
PER (Lap 8),86.068
ALB (Lap 9),92.348
COL (Lap 3),77.456
HAD (Lap 3),77.459
LAW (Lap 5),77.166
VER (Lap 3),83.576
LEC (Lap 2),86.977
BOT (Lap 3),87.996
RUS (Lap 3),86.093
PIA (Lap 1),77.597
RUS (Lap 4),87.492
LIN (Lap 2),77.709
VER (Lap 4),80.096
ANT (Lap 3),78.860
LEC (Lap 3),77.111
COL (Lap 4),88.075
PER (Lap 9),92.233
LEC (Lap 4),79.181
ALB (Lap 10),77.752
HAM (Lap 5),83.587
HAD (Lap 4),79.240
STR (Lap 3),83.057
ALO (Lap 8),92.627
ALB (Lap 11),77.177
LEC (Lap 5),77.335
ALO (Lap 9),90.328
LAW (Lap 6),83.493
