Name,LapTime
OCO (Lap 1),87.797
COL (Lap 1),80.692
VER (Lap 1),91.278
LIN (Lap 1),85.469
RUS (Lap 1),87.382
LEC (Lap 1),86.072
ALO (Lap 1),90.965
LIN (Lap 2),90.158
ALO (Lap 2),87.735
PIA (Lap 1),81.060
BEA (Lap 1),85.635
SAI (Lap 1),87.298
PER (Lap 1),88.639
LIN (Lap 3),85.452
ALO (Lap 3),91.492
LIN (Lap 4),83.575
BOT (Lap 1),90.979
PIA (Lap 2),77.912
BOR (Lap 1),77.845
HUL (Lap 1),77.014
ALO (Lap 4),91.138
RUS (Lap 2),78.382
HAM (Lap 1),82.921
ALB (Lap 1),91.197
LEC (Lap 2),86.572
RUS (Lap 3),88.289
HAM (Lap 2),86.302
BOT (Lap 2),92.866
RUS (Lap 4),82.465
GAS (Lap 1),82.785
ANT (Lap 1),81.625
RUS (Lap 5),80.698
SAI (Lap 2),84.074
ALB (Lap 2),78.441
ALO (Lap 5),80.851
ALB (Lap 3),84.670
COL (Lap 2),83.766
RUS (Lap 6),87.971
GAS (Lap 2),88.994
BOR (Lap 2),84.673
BOT (Lap 3),91.298
BOR (Lap 3),89.900
LIN (Lap 5),85.021
PIA (Lap 3),78.101
LEC (Lap 3),87.906
HUL (Lap 2),82.962
LAW (Lap 1),81.213
LAW (Lap 2),77.238
STR (Lap 1),89.508
ANT (Lap 2),77.989
LAW (Lap 3),78.842
SAI (Lap 3),79.515
BOR (Lap 4),79.797
BOT (Lap 4),81.021
PER (Lap 2),91.498
OCO (Lap 2),83.831
COL (Lap 3),81.283
BEA (Lap 2),78.314
LEC (Lap 4),80.807
GAS (Lap 3),90.106
PER (Lap 3),79.395
PIA (Lap 4),91.329
ALO (Lap 6),85.883
HAM (Lap 3),86.936
HAM (Lap 4),84.451
OCO (Lap 3),88.883
BOT (Lap 5),92.788
HAD (Lap 1),80.838
HUL (Lap 3),85.939
BOR (Lap 5),90.528
