Name,LapTime
LEC (Lap 1),91.676
OCO (Lap 1),78.781
BOR (Lap 1),87.841
COL (Lap 1),90.048
BOR (Lap 2),89.421
HUL (Lap 1),77.127
LIN (Lap 1),78.294
ALO (Lap 1),82.064
RUS (Lap 1),91.915
LIN (Lap 2),87.550
STR (Lap 1),87.275
ANT (Lap 1),92.113
BEA (Lap 1),80.149
SAI (Lap 1),87.286
ALB (Lap 1),78.822
LAW (Lap 1),78.968
GAS (Lap 1),88.166
GAS (Lap 2),77.912
ANT (Lap 2),90.658
BOT (Lap 1),83.641
COL (Lap 2),79.713
STR (Lap 2),84.236
ANT (Lap 3),78.135
OCO (Lap 2),84.182
GAS (Lap 3),82.808
LEC (Lap 2),89.992
RUS (Lap 2),80.958
COL (Lap 3),77.897
VER (Lap 1),90.982
HUL (Lap 2),88.620
LIN (Lap 3),92.283
RUS (Lap 3),87.576
NOR (Lap 1),87.833
BOR (Lap 3),91.441
LEC (Lap 3),77.705
VER (Lap 2),85.145
VER (Lap 3),83.826
HUL (Lap 3),81.745
COL (Lap 4),90.158
PER (Lap 1),82.106
