Name,LapTime
LAW (Lap 1),86.399
BOR (Lap 1),78.544
HUL (Lap 1),85.268
LAW (Lap 2),77.025
STR (Lap 1),91.232
OCO (Lap 1),83.815
LEC (Lap 1),77.512
OCO (Lap 2),88.725
BEA (Lap 1),88.184
OCO (Lap 3),80.171
STR (Lap 2),90.338
OCO (Lap 4),79.782
BOT (Lap 1),89.280
RUS (Lap 1),77.313
BOR (Lap 2),86.306
PER (Lap 1),78.628
LIN (Lap 1),92.722
PIA (Lap 1),92.497
HAM (Lap 1),77.328
VER (Lap 1),83.278
SAI (Lap 1),90.602
ALO (Lap 1),88.064
ANT (Lap 1),84.074
OCO (Lap 5),87.895
ALO (Lap 2),77.730
ALO (Lap 3),79.488
STR (Lap 3),86.558
COL (Lap 1),90.449
BEA (Lap 2),83.422
RUS (Lap 2),81.849
