Name,LapTime
LEC (Lap 1),81.174
LIN (Lap 1),80.319
LIN (Lap 2),82.488
SAI (Lap 1),87.824
ALB (Lap 1),88.385
ANT (Lap 1),88.820
BOT (Lap 1),77.787
GAS (Lap 1),80.089
PIA (Lap 1),84.224
PIA (Lap 2),81.750
STR (Lap 1),79.198
BOR (Lap 1),86.291
RUS (Lap 1),82.457
LIN (Lap 3),90.027
PIA (Lap 3),78.803
HAM (Lap 1),86.283
BOT (Lap 2),87.437
GAS (Lap 2),90.204
HUL (Lap 1),88.874
PER (Lap 1),82.886
BOR (Lap 2),92.865
LIN (Lap 4),86.687
ALO (Lap 1),90.967
COL (Lap 1),91.641
HUL (Lap 2),89.531
RUS (Lap 2),80.091
HAM (Lap 2),77.074
HAD (Lap 1),77.465
ALO (Lap 2),82.542
ALB (Lap 2),77.435
BEA (Lap 1),90.135
RUS (Lap 3),81.684
NOR (Lap 1),82.271
COL (Lap 2),91.376
VER (Lap 1),92.148
GAS (Lap 3),90.468
ALB (Lap 3),78.460
GAS (Lap 4),83.058
COL (Lap 3),88.688
BOT (Lap 3),77.171
COL (Lap 4),92.690
LAW (Lap 1),83.385
OCO (Lap 1),87.019
BOT (Lap 4),92.161
HAD (Lap 2),91.037
HUL (Lap 3),92.890
OCO (Lap 2),91.040
BEA (Lap 2),85.854
RUS (Lap 4),79.650
COL (Lap 5),83.846
BOT (Lap 5),82.109
LAW (Lap 2),78.779
HAD (Lap 3),78.698
VER (Lap 2),84.716
HAM (Lap 3),90.781
BEA (Lap 3),89.328
VER (Lap 3),81.339
RUS (Lap 5),81.249
LIN (Lap 5),91.519
HUL (Lap 4),78.248
BOT (Lap 6),82.056
NOR (Lap 2),79.415
SAI (Lap 2),80.826
VER (Lap 4),84.389
ALO (Lap 3),91.893
GAS (Lap 5),90.264
BOR (Lap 3),85.675
ALB (Lap 4),80.985
ALB (Lap 5),91.660
PIA (Lap 4),91.338
PIA (Lap 5),80.467
NOR (Lap 3),91.521
BEA (Lap 4),87.564
OCO (Lap 3),77.032
COL (Lap 6),85.499
COL (Lap 7),91.243
BEA (Lap 5),91.790
SAI (Lap 3),82.596
LEC (Lap 2),88.438
NOR (Lap 4),90.999
BOT (Lap 7),83.823
GAS (Lap 6),87.223
LEC (Lap 3),91.762
HAD (Lap 4),80.825
LEC (Lap 4),92.700
HUL (Lap 5),89.634
HUL (Lap 6),86.461
STR (Lap 2),79.315
COL (Lap 8),87.833
SAI (Lap 4),81.203
