Name,LapTime
HUL (Lap 1),77.678
ALO (Lap 1),89.020
BEA (Lap 1),78.322
PER (Lap 1),80.907
ANT (Lap 1),83.686
VER (Lap 1),89.082
SAI (Lap 1),90.661
SAI (Lap 2),79.395
OCO (Lap 1),80.953
VER (Lap 2),85.473
ALB (Lap 1),92.457
LEC (Lap 1),90.196
LIN (Lap 1),89.704
NOR (Lap 1),90.002
PIA (Lap 1),88.360
GAS (Lap 1),87.521
GAS (Lap 2),83.000
HUL (Lap 2),91.823
PER (Lap 2),82.372
BEA (Lap 2),88.453
HAD (Lap 1),81.533
HUL (Lap 3),92.423
ALO (Lap 2),84.475
GAS (Lap 3),84.430
LEC (Lap 2),80.125
COL (Lap 1),77.940
PIA (Lap 2),84.428
ANT (Lap 2),92.081
COL (Lap 2),90.037
OCO (Lap 2),87.445
