Name,LapTime
BEA (Lap 1),85.225
COL (Lap 1),87.639
COL (Lap 2),82.074
SAI (Lap 1),90.734
LEC (Lap 1),81.047
BOT (Lap 1),86.669
HAM (Lap 1),87.976
COL (Lap 3),85.582
HAD (Lap 1),77.629
LEC (Lap 2),82.830
ALO (Lap 1),81.941
HAD (Lap 2),90.601
GAS (Lap 1),77.001
HAM (Lap 2),87.313
LAW (Lap 1),90.133
ANT (Lap 1),78.952
HUL (Lap 1),79.787
SAI (Lap 2),80.791
GAS (Lap 2),87.203
GAS (Lap 3),88.929
LEC (Lap 3),89.504
BOR (Lap 1),84.400
VER (Lap 1),81.528
HUL (Lap 2),79.699
BEA (Lap 2),84.446
LIN (Lap 1),86.863
OCO (Lap 1),90.302
ALO (Lap 2),77.260
RUS (Lap 1),78.751
LEC (Lap 4),77.922
COL (Lap 4),79.486
LIN (Lap 2),86.402
NOR (Lap 1),77.350
BOT (Lap 2),82.743
SAI (Lap 3),91.132
NOR (Lap 2),79.559
OCO (Lap 2),81.357
LAW (Lap 2),77.378
HAD (Lap 3),86.900
LAW (Lap 3),86.476
ANT (Lap 2),91.314
BOT (Lap 3),88.717
VER (Lap 2),80.935
LAW (Lap 4),80.920
HAM (Lap 3),92.782
HAD (Lap 4),85.883
LEC (Lap 5),77.436
OCO (Lap 3),85.035
PIA (Lap 1),85.194
COL (Lap 5),87.360
BEA (Lap 3),85.386
STR (Lap 1),92.955
GAS (Lap 4),79.057
BEA (Lap 4),85.115
LIN (Lap 3),91.364
SAI (Lap 4),84.554
NOR (Lap 3),88.211
BEA (Lap 5),80.439
PIA (Lap 2),85.074
ANT (Lap 3),85.783
OCO (Lap 4),79.227
COL (Lap 6),92.021
COL (Lap 7),89.019
LIN (Lap 4),88.602
PER (Lap 1),77.375
LIN (Lap 5),85.015
LEC (Lap 6),78.415
SAI (Lap 5),77.456
STR (Lap 2),82.022
COL (Lap 8),83.470
HAD (Lap 5),84.078
LIN (Lap 6),84.933
GAS (Lap 5),86.918
STR (Lap 3),82.425
BOR (Lap 2),85.080
HUL (Lap 3),86.064
ANT (Lap 4),86.948
SAI (Lap 6),80.364
COL (Lap 9),84.734
LAW (Lap 5),87.875
HAD (Lap 6),79.934
VER (Lap 3),77.518
LAW (Lap 6),81.178
LIN (Lap 7),84.390
LEC (Lap 7),89.796
BEA (Lap 6),81.988
STR (Lap 4),86.877
BOT (Lap 4),79.637
STR (Lap 5),92.303
VER (Lap 4),80.571
LEC (Lap 8),91.777
BOT (Lap 5),82.299
BEA (Lap 7),92.945
RUS (Lap 2),82.624
OCO (Lap 5),83.209
HUL (Lap 4),84.746
PIA (Lap 3),78.562
ALB (Lap 1),83.354
PER (Lap 2),82.545
ANT (Lap 5),88.749
