Name,LapTime
HUL (Lap 1),85.981
GAS (Lap 1),87.663
STR (Lap 1),83.216
BOT (Lap 1),82.373
LAW (Lap 1),79.678
PIA (Lap 1),83.033
ALB (Lap 1),91.399
PER (Lap 1),78.290
LIN (Lap 1),85.470
LEC (Lap 1),91.872
SAI (Lap 1),85.971
HAD (Lap 1),82.043
GAS (Lap 2),91.846
RUS (Lap 1),81.028
LAW (Lap 2),85.422
SAI (Lap 2),85.363
LEC (Lap 2),81.172
NOR (Lap 1),79.677
BOR (Lap 1),85.905
OCO (Lap 1),79.998
GAS (Lap 3),79.913
ANT (Lap 1),85.082
BOT (Lap 2),90.197
BOT (Lap 3),90.928
VER (Lap 1),81.014
BOT (Lap 4),84.242
ALB (Lap 2),86.421
OCO (Lap 2),88.369
BOR (Lap 2),78.155
BOR (Lap 3),85.842
LIN (Lap 2),80.939
OCO (Lap 3),80.929
NOR (Lap 2),89.180
ALB (Lap 3),86.956
ALB (Lap 4),89.564
SAI (Lap 3),86.916
LIN (Lap 3),86.783
OCO (Lap 4),84.379
ALO (Lap 1),89.030
ANT (Lap 2),92.713
VER (Lap 2),92.543
BOR (Lap 4),85.007
STR (Lap 2),79.340
BOT (Lap 5),79.976
STR (Lap 3),81.299
PIA (Lap 2),85.469
HAM (Lap 1),78.620
BOT (Lap 6),87.489
ALB (Lap 5),85.573
BEA (Lap 1),82.801
