Name,LapTime
HAD (Lap 1),83.346
LAW (Lap 1),86.559
HUL (Lap 1),81.436
SAI (Lap 1),91.306
RUS (Lap 1),91.123
STR (Lap 1),89.697
PIA (Lap 1),90.923
STR (Lap 2),79.653
STR (Lap 3),79.443
COL (Lap 1),81.825
STR (Lap 4),88.104
ALO (Lap 1),81.431
LEC (Lap 1),82.626
BOR (Lap 1),87.433
GAS (Lap 1),81.427
HAD (Lap 2),87.508
ANT (Lap 1),83.951
BEA (Lap 1),85.453
STR (Lap 5),83.718
NOR (Lap 1),90.062
PER (Lap 1),91.858
RUS (Lap 2),83.494
LAW (Lap 2),78.218
ANT (Lap 2),78.827
VER (Lap 1),89.173
VER (Lap 2),80.718
VER (Lap 3),88.893
BOT (Lap 1),79.843
ALO (Lap 2),82.846
LIN (Lap 1),86.631
NOR (Lap 2),82.911
LEC (Lap 2),80.942
COL (Lap 2),80.259
PIA (Lap 2),79.925
PIA (Lap 3),88.633
LEC (Lap 3),88.017
STR (Lap 6),84.668
OCO (Lap 1),91.773
COL (Lap 3),86.456
PIA (Lap 4),78.569
HAM (Lap 1),77.988
PIA (Lap 5),82.409
LAW (Lap 3),92.638
STR (Lap 7),92.237
HUL (Lap 2),84.119
VER (Lap 4),77.202
OCO (Lap 2),77.086
GAS (Lap 2),90.522
ALB (Lap 1),86.832
HAM (Lap 2),83.270
HAD (Lap 3),88.319
PIA (Lap 6),88.198
VER (Lap 5),92.649
LEC (Lap 4),80.604
HAM (Lap 3),78.111
LAW (Lap 4),89.250
COL (Lap 4),87.520
COL (Lap 5),85.477
HUL (Lap 3),80.098
BOT (Lap 2),85.504
