Name,LapTime
RUS (Lap 1),92.213
COL (Lap 1),80.915
PER (Lap 1),86.795
HUL (Lap 1),86.609
ANT (Lap 1),83.768
PER (Lap 2),83.658
PIA (Lap 1),83.415
BEA (Lap 1),88.080
RUS (Lap 2),77.020
ALB (Lap 1),78.570
LEC (Lap 1),83.099
HAM (Lap 1),81.522
VER (Lap 1),77.426
LAW (Lap 1),86.158
ANT (Lap 2),84.947
LAW (Lap 2),84.761
LIN (Lap 1),88.942
LAW (Lap 3),85.437
STR (Lap 1),81.957
ALB (Lap 2),91.060
RUS (Lap 3),90.160
GAS (Lap 1),89.171
SAI (Lap 1),82.186
ALB (Lap 3),87.012
ALO (Lap 1),77.771
BOR (Lap 1),80.535
ALO (Lap 2),84.706
HUL (Lap 2),82.984
PIA (Lap 2),83.607
HAM (Lap 2),88.433
BEA (Lap 2),79.414
STR (Lap 2),88.315
HUL (Lap 3),88.047
LAW (Lap 4),84.905
PER (Lap 3),79.131
GAS (Lap 2),82.233
NOR (Lap 1),86.758
RUS (Lap 4),81.600
LEC (Lap 2),86.105
LAW (Lap 5),91.376
COL (Lap 2),79.053
GAS (Lap 3),89.719
LEC (Lap 3),91.500
VER (Lap 2),84.634
PIA (Lap 3),80.068
SAI (Lap 2),81.725
LEC (Lap 4),81.037
SAI (Lap 3),81.480
ALO (Lap 3),77.678
GAS (Lap 4),92.867
RUS (Lap 5),88.370
LEC (Lap 5),85.909
PER (Lap 4),91.976
NOR (Lap 2),80.741
GAS (Lap 5),90.471
LEC (Lap 6),89.611
OCO (Lap 1),92.862
ALB (Lap 4),79.825
HAD (Lap 1),81.974
NOR (Lap 3),77.744
BOT (Lap 1),90.576
STR (Lap 3),78.723
RUS (Lap 6),86.217
LIN (Lap 2),80.869
COL (Lap 3),83.094
ALO (Lap 4),89.065
PIA (Lap 4),91.102
SAI (Lap 4),78.652
ALB (Lap 5),80.240
BEA (Lap 3),91.412
HAD (Lap 2),83.108
HAM (Lap 3),87.142
HAD (Lap 3),92.260
VER (Lap 3),79.811
STR (Lap 4),78.384
PER (Lap 5),84.611
LIN (Lap 3),79.523
HAM (Lap 4),85.059
LAW (Lap 6),85.165
ANT (Lap 3),85.459
PER (Lap 6),92.599
BOT (Lap 2),79.100
SAI (Lap 5),86.624
HAD (Lap 4),82.766
STR (Lap 5),86.985
RUS (Lap 7),92.816
BOR (Lap 2),91.459
NOR (Lap 4),90.844
HAM (Lap 5),86.784
PER (Lap 7),91.242
ALO (Lap 5),91.848
BEA (Lap 4),80.994
STR (Lap 6),80.833
ALO (Lap 6),78.874
COL (Lap 4),85.905
RUS (Lap 8),87.852
SAI (Lap 6),90.562
ALO (Lap 7),90.064
PIA (Lap 5),78.095
PER (Lap 8),92.602
