Name,LapTime
ALO (Lap 1),78.578
HAD (Lap 1),90.628
ALB (Lap 1),77.199
ALO (Lap 2),77.817
HUL (Lap 1),77.631
HUL (Lap 2),89.803
LAW (Lap 1),79.420
OCO (Lap 1),78.172
HAM (Lap 1),78.138
COL (Lap 1),88.340
COL (Lap 2),88.644
LIN (Lap 1),79.326
HUL (Lap 3),90.582
LIN (Lap 2),79.093
LEC (Lap 1),92.657
OCO (Lap 2),81.475
ALO (Lap 3),79.737
LAW (Lap 2),79.296
HUL (Lap 4),89.682
BOR (Lap 1),85.999
PER (Lap 1),79.173
BEA (Lap 1),88.342
BOR (Lap 2),77.974
HUL (Lap 5),84.201
PER (Lap 2),85.543
ANT (Lap 1),85.627
PER (Lap 3),80.353
LEC (Lap 2),80.561
BOR (Lap 3),79.310
GAS (Lap 1),77.221
