Name,LapTime
PIA (Lap 1),77.810
HUL (Lap 1),87.081
VER (Lap 1),78.315
PER (Lap 1),77.537
GAS (Lap 1),89.588
PIA (Lap 2),86.877
ALO (Lap 1),84.053
GAS (Lap 2),82.262
ANT (Lap 1),80.254
OCO (Lap 1),91.430
LEC (Lap 1),85.308
PER (Lap 2),80.069
LIN (Lap 1),81.671
RUS (Lap 1),85.465
VER (Lap 2),77.610
COL (Lap 1),79.457
LEC (Lap 2),91.799
VER (Lap 3),89.651
LIN (Lap 2),80.404
ALO (Lap 2),89.075
VER (Lap 4),85.050
BOR (Lap 1),80.639
VER (Lap 5),91.829
BOT (Lap 1),85.079
RUS (Lap 2),81.444
OCO (Lap 2),84.966
HUL (Lap 2),88.221
OCO (Lap 3),88.204
BOR (Lap 2),88.109
GAS (Lap 3),91.738
ANT (Lap 2),82.159
VER (Lap 6),87.433
HUL (Lap 3),89.992
NOR (Lap 1),80.594
GAS (Lap 4),83.520
VER (Lap 7),79.173
PIA (Lap 3),89.476
VER (Lap 8),85.644
BOR (Lap 3),83.880
LAW (Lap 1),89.665
