Name,LapTime
ALB (Lap 1),87.975
LIN (Lap 1),82.570
ALO (Lap 1),78.280
HAM (Lap 1),92.778
LIN (Lap 2),84.325
PER (Lap 1),80.662
COL (Lap 1),80.805
RUS (Lap 1),78.968
RUS (Lap 2),78.880
HAM (Lap 2),84.090
PER (Lap 2),86.781
PER (Lap 3),80.404
ALB (Lap 2),84.922
BOT (Lap 1),85.733
VER (Lap 1),79.266
BOR (Lap 1),92.238
NOR (Lap 1),83.247
BOR (Lap 2),87.205
RUS (Lap 3),83.047
LEC (Lap 1),89.628
RUS (Lap 4),86.411
BEA (Lap 1),83.627
PER (Lap 4),86.153
HAM (Lap 3),79.258
OCO (Lap 1),82.161
PER (Lap 5),84.689
STR (Lap 1),80.255
LIN (Lap 3),90.915
RUS (Lap 5),80.487
LEC (Lap 2),79.109
