Name,LapTime
BOT (Lap 1),79.235
ALB (Lap 1),87.477
COL (Lap 1),83.812
PER (Lap 1),87.534
BOT (Lap 2),87.574
BOR (Lap 1),84.748
LIN (Lap 1),77.489
BEA (Lap 1),88.670
BOT (Lap 3),80.676
LIN (Lap 2),86.663
BEA (Lap 2),92.761
HAD (Lap 1),90.063
RUS (Lap 1),91.968
ALB (Lap 2),91.160
GAS (Lap 1),82.143
ALB (Lap 3),79.439
LEC (Lap 1),78.370
HAM (Lap 1),91.757
BOT (Lap 4),78.202
OCO (Lap 1),79.164
STR (Lap 1),87.619
ALO (Lap 1),78.145
LAW (Lap 1),78.089
LEC (Lap 2),90.827
HAD (Lap 2),85.876
LEC (Lap 3),81.221
ALO (Lap 2),84.306
LAW (Lap 2),88.828
PER (Lap 2),86.219
LEC (Lap 4),92.796
SAI (Lap 1),80.578
ANT (Lap 1),83.531
HAD (Lap 3),80.877
COL (Lap 2),78.641
ALO (Lap 3),79.748
HAM (Lap 2),92.411
STR (Lap 2),90.714
NOR (Lap 1),83.264
ALB (Lap 4),78.737
HAD (Lap 4),90.584
RUS (Lap 2),86.976
RUS (Lap 3),84.660
GAS (Lap 2),86.363
GAS (Lap 3),81.169
RUS (Lap 4),81.301
HUL (Lap 1),83.979
BOR (Lap 2),86.968
STR (Lap 3),89.927
LIN (Lap 3),83.161
OCO (Lap 2),82.265
BOR (Lap 3),83.664
OCO (Lap 3),88.536
HUL (Lap 2),84.639
STR (Lap 4),85.209
NOR (Lap 2),89.534
HAD (Lap 5),85.179
HUL (Lap 3),77.720
GAS (Lap 4),86.536
SAI (Lap 2),89.584
VER (Lap 1),89.425
GAS (Lap 5),81.568
HUL (Lap 4),88.332
LIN (Lap 4),82.825
LAW (Lap 3),87.536
GAS (Lap 6),83.406
BOT (Lap 5),85.483
ALB (Lap 5),77.508
HAM (Lap 3),78.182
OCO (Lap 4),86.495
OCO (Lap 5),83.420
