Name,LapTime
HUL (Lap 1),89.120
OCO (Lap 1),85.424
PER (Lap 1),90.869
VER (Lap 1),86.217
RUS (Lap 1),89.976
HAM (Lap 1),83.334
LAW (Lap 1),88.007
PIA (Lap 1),79.348
RUS (Lap 2),83.581
COL (Lap 1),90.812
BOT (Lap 1),85.940
BOT (Lap 2),90.243
HAD (Lap 1),79.012
SAI (Lap 1),82.454
PIA (Lap 2),85.168
BOT (Lap 3),79.806
OCO (Lap 2),90.959
COL (Lap 2),81.132
LEC (Lap 1),91.339
BOR (Lap 1),81.967
GAS (Lap 1),86.982
GAS (Lap 2),88.331
VER (Lap 2),90.658
PER (Lap 2),91.616
COL (Lap 3),78.923
ANT (Lap 1),84.694
LAW (Lap 2),85.066
ANT (Lap 2),78.733
LAW (Lap 3),84.321
OCO (Lap 3),83.156
ANT (Lap 3),82.507
STR (Lap 1),91.051
COL (Lap 4),86.814
LIN (Lap 1),81.932
ANT (Lap 4),77.112
ALO (Lap 1),86.323
RUS (Lap 3),90.052
BEA (Lap 1),92.489
PIA (Lap 3),91.461
STR (Lap 2),82.572
