Name,LapTime
VER (Lap 1),88.350
HAM (Lap 1),92.403
LEC (Lap 1),86.024
STR (Lap 1),90.792
BEA (Lap 1),89.108
ALB (Lap 1),81.644
PIA (Lap 1),92.918
BOT (Lap 1),88.178
RUS (Lap 1),82.176
VER (Lap 2),92.779
ALB (Lap 2),81.485
HAD (Lap 1),79.069
OCO (Lap 1),78.513
BEA (Lap 2),87.827
GAS (Lap 1),92.424
SAI (Lap 1),87.164
RUS (Lap 2),89.972
LIN (Lap 1),90.268
ALO (Lap 1),81.053
NOR (Lap 1),85.052
HAD (Lap 2),77.365
LAW (Lap 1),78.356
OCO (Lap 2),91.870
LIN (Lap 2),80.041
ALB (Lap 3),85.464
PIA (Lap 2),87.442
BOR (Lap 1),80.737
HAD (Lap 3),82.171
VER (Lap 3),88.631
ALO (Lap 2),80.168
BEA (Lap 3),84.637
ALB (Lap 4),81.781
HUL (Lap 1),91.212
RUS (Lap 3),88.598
GAS (Lap 2),82.264
ALB (Lap 5),86.520
BOT (Lap 2),87.926
HAD (Lap 4),83.767
LIN (Lap 3),84.446
LAW (Lap 2),79.730
