Name,LapTime
BEA (Lap 1),81.893
LEC (Lap 1),89.545
OCO (Lap 1),87.209
COL (Lap 1),91.841
NOR (Lap 1),90.655
BOT (Lap 1),85.904
PIA (Lap 1),81.777
SAI (Lap 1),92.426
ANT (Lap 1),92.170
ANT (Lap 2),77.984
ANT (Lap 3),85.977
ANT (Lap 4),82.355
BOR (Lap 1),79.210
BOR (Lap 2),87.773
LIN (Lap 1),77.104
STR (Lap 1),89.213
RUS (Lap 1),81.858
COL (Lap 2),89.820
COL (Lap 3),90.859
ALO (Lap 1),92.516
STR (Lap 2),80.780
ANT (Lap 5),91.105
HAM (Lap 1),82.764
BOR (Lap 3),82.717
LAW (Lap 1),77.270
COL (Lap 4),92.507
ANT (Lap 6),92.837
HAM (Lap 2),90.434
HAM (Lap 3),80.448
LEC (Lap 2),85.774
OCO (Lap 2),91.404
VER (Lap 1),77.218
RUS (Lap 2),83.267
BOR (Lap 4),84.867
NOR (Lap 2),82.502
VER (Lap 2),91.207
LAW (Lap 2),79.681
BEA (Lap 2),86.614
OCO (Lap 3),84.274
ALO (Lap 2),92.285
STR (Lap 3),90.426
BOR (Lap 5),88.451
GAS (Lap 1),83.290
LAW (Lap 3),90.116
HAM (Lap 4),85.627
GAS (Lap 2),90.184
LIN (Lap 2),91.980
ALB (Lap 1),82.540
PER (Lap 1),88.323
HUL (Lap 1),87.010
BOT (Lap 2),92.840
NOR (Lap 3),78.211
VER (Lap 3),83.004
STR (Lap 4),92.261
OCO (Lap 4),90.118
PIA (Lap 2),92.327
GAS (Lap 3),91.180
SAI (Lap 2),88.187
VER (Lap 4),82.580
BOR (Lap 6),78.135
ALB (Lap 2),77.545
ALO (Lap 3),84.511
OCO (Lap 5),83.019
PIA (Lap 3),86.944
ALO (Lap 4),85.142
SAI (Lap 3),91.067
HAD (Lap 1),79.107
HAM (Lap 5),84.050
OCO (Lap 6),91.292
STR (Lap 5),82.797
BOT (Lap 3),82.437
ALO (Lap 5),85.605
BOT (Lap 4),89.919
RUS (Lap 3),82.072
GAS (Lap 4),88.646
COL (Lap 5),89.490
VER (Lap 5),81.449
PIA (Lap 4),89.459
HAD (Lap 2),80.292
HAD (Lap 3),78.850
OCO (Lap 7),83.667
HUL (Lap 2),83.520
LAW (Lap 4),79.594
BOT (Lap 5),92.286
OCO (Lap 8),92.249
HUL (Lap 3),89.447
ALB (Lap 3),80.268
NOR (Lap 4),78.917
STR (Lap 6),86.011
VER (Lap 6),88.023
HAM (Lap 6),87.216
RUS (Lap 4),78.418
PER (Lap 2),85.116
BEA (Lap 3),81.722
BEA (Lap 4),84.302
GAS (Lap 5),91.377
BOT (Lap 6),90.314
ALB (Lap 4),85.556
VER (Lap 7),80.706
BOT (Lap 7),84.118
