Name,LapTime
OCO (Lap 1),85.290
LIN (Lap 1),86.612
ANT (Lap 1),80.108
NOR (Lap 1),86.818
ALB (Lap 1),78.917
ALB (Lap 2),79.228
HAM (Lap 1),86.651
PER (Lap 1),89.952
ANT (Lap 2),82.283
VER (Lap 1),82.408
GAS (Lap 1),92.556
BOT (Lap 1),85.533
PER (Lap 2),90.840
BOR (Lap 1),85.725
HAM (Lap 2),86.144
COL (Lap 1),91.843
OCO (Lap 2),86.688
LIN (Lap 2),85.263
OCO (Lap 3),77.395
OCO (Lap 4),77.857
STR (Lap 1),77.202
LAW (Lap 1),82.310
LAW (Lap 2),87.110
SAI (Lap 1),82.427
RUS (Lap 1),84.553
GAS (Lap 2),90.833
ALO (Lap 1),85.380
STR (Lap 2),85.439
LAW (Lap 3),77.643
PIA (Lap 1),77.290
PIA (Lap 2),86.230
HAM (Lap 3),85.020
HAD (Lap 1),77.067
ALB (Lap 3),85.040
ALO (Lap 2),87.128
HAM (Lap 4),88.305
HUL (Lap 1),92.130
BOT (Lap 2),91.760
BOT (Lap 3),90.670
BOR (Lap 2),84.224
