Suresh,17.8
Rahul,18.5
Geet,17.5
Arjun,19.8
Kiran,18.5
Kavita,23.0
Arjun,18.3
Meera,18.0
Vikram,21.0
Meera,22.5
Anita,23.5
Kavita,17.8
Vikram,19.8
Geet,20.0
Kavita,18.5
Mohan,20.0
Kiran,17.8
Rahul,18.5
Sneha,22.0
Mohan,21.0
Priya,22.5
Geet,17.8
Sneha,19.5
Vikram,18.3
Mohan,21.0
Geet,18.5
Priya,20.5
Neha,21.5
Priya,22.5
Suresh,21.5
Kavita,23.0
Anita,20.0
Meera,20.5
Neha,22.5
Reeta,23.5
Geet,21.5
Vikram,17.8
Kiran,18.0
Arjun,18.0
Priya,20.0
Meera,23.5
Neha,22.0
Reeta,17.5
Reeta,22.0
Kavita,19.8
Neha,22.5
Meera,20.0
Vikram,21.0
Rahul,18.5
Vikram,23.0
Anita,18.5
Amit,23.5
Suresh,21.5
Suresh,22.0
Ravi,18.3
Kiran,23.0
Geet,21.5
Vikram,22.0
Anita,22.0
Vikram,20.0
Kiran,18.0
Anita,18.0
Vikram,20.5
Kiran,19.8
Suresh,23.5
Suresh,20.0
Priya,20.0
Priya,23.5
Anita,17.8
Rahul,18.3
Neha,22.5
Reeta,20.0
Meera,17.5
Neha,18.5
Geet,19.0
Suresh,23.0
Suresh,20.0
Geet,18.0
Reeta,22.0
Vikram,19.5
Arjun,23.5
Kavita,19.0
Rahul,17.8
Anita,17.5
Kavita,20.0
Anita,20.5
Anita,21.5
Reeta,22.0
Suresh,23.5
Sneha,22.0
