Position,Name,LapTime
1,NOR (Lap 1),78.062
2,GAS (Lap 1),78.190
3,VER (Lap 1),78.744
4,OCO (Lap 1),79.177
5,OCO (Lap 3),79.269
6,RUS (Lap 1),79.398
7,PER (Lap 1),79.769
8,LIN (Lap 1),80.642
9,LEC (Lap 1),81.028
10,HUL (Lap 1),81.150
11,RUS (Lap 3),81.354
12,PIA (Lap 1),81.958
13,SAI (Lap 1),82.199
14,LIN (Lap 2),82.835
15,COL (Lap 1),83.633
16,BOT (Lap 1),83.736
17,HUL (Lap 2),83.925
18,BOR (Lap 2),83.984
19,BEA (Lap 1),84.116
20,BOT (Lap 4),84.428
21,STR (Lap 1),85.376
22,RUS (Lap 2),88.223
23,BOT (Lap 3),88.755
24,BOR (Lap 1),89.163
25,OCO (Lap 2),90.360
26,SAI (Lap 2),90.370
27,LAW (Lap 1),90.918
28,BOT (Lap 2),91.195
29,LEC (Lap 2),91.834
30,ALO (Lap 1),92.852
