Position,Name,LapTime
1,LAW (Lap 2),77.025
2,RUS (Lap 1),77.313
3,HAM (Lap 1),77.328
4,LEC (Lap 1),77.512
5,ALO (Lap 2),77.730
6,BOR (Lap 1),78.544
7,PER (Lap 1),78.628
8,ALO (Lap 3),79.488
9,OCO (Lap 4),79.782
10,OCO (Lap 3),80.171
11,RUS (Lap 2),81.849
12,VER (Lap 1),83.278
13,BEA (Lap 2),83.422
14,OCO (Lap 1),83.815
15,ANT (Lap 1),84.074
16,HUL (Lap 1),85.268
17,BOR (Lap 2),86.306
18,LAW (Lap 1),86.399
19,STR (Lap 3),86.558
20,OCO (Lap 5),87.895
21,ALO (Lap 1),88.064
22,BEA (Lap 1),88.184
23,OCO (Lap 2),88.725
24,BOT (Lap 1),89.280
25,STR (Lap 2),90.338
26,COL (Lap 1),90.449
27,SAI (Lap 1),90.602
28,STR (Lap 1),91.232
29,PIA (Lap 1),92.497
30,LIN (Lap 1),92.722
