Position,Name,LapTime
1,HAD (Lap 3),77.394
2,HUL (Lap 1),77.727
3,BOR (Lap 1),77.757
4,HUL (Lap 2),78.010
5,PIA (Lap 3),78.744
6,BEA (Lap 4),78.808
7,HAM (Lap 1),78.876
8,OCO (Lap 1),78.924
9,GAS (Lap 4),79.208
10,BEA (Lap 2),79.268
11,COL (Lap 1),79.833
12,PER (Lap 4),80.022
13,ALO (Lap 2),80.090
14,ALO (Lap 3),80.285
15,HUL (Lap 4),80.603
16,RUS (Lap 2),80.607
17,PER (Lap 3),80.755
18,SAI (Lap 1),80.950
19,ANT (Lap 1),81.110
20,VER (Lap 3),81.274
21,PIA (Lap 2),81.287
22,GAS (Lap 3),81.833
23,BEA (Lap 1),81.935
24,SAI (Lap 2),82.100
25,STR (Lap 1),82.229
26,STR (Lap 4),82.899
27,LEC (Lap 3),83.370
28,STR (Lap 3),83.483
29,PER (Lap 2),83.731
30,HAD (Lap 2),84.040
31,SAI (Lap 3),84.100
32,NOR (Lap 2),84.115
33,STR (Lap 5),84.149
34,GAS (Lap 1),84.241
35,LIN (Lap 2),84.654
36,VER (Lap 1),85.137
37,LIN (Lap 1),86.779
38,HUL (Lap 3),86.958
39,NOR (Lap 3),87.050
40,PER (Lap 1),87.183
41,NOR (Lap 1),87.518
42,PIA (Lap 1),87.860
43,PIA (Lap 4),88.262
44,LEC (Lap 1),88.903
45,LAW (Lap 1),89.210
46,HAM (Lap 2),89.341
47,STR (Lap 2),90.385
48,BEA (Lap 3),90.443
49,GAS (Lap 2),90.631
50,HAD (Lap 1),90.949
51,HUL (Lap 5),91.129
52,RUS (Lap 3),91.173
53,RUS (Lap 1),91.440
54,ALO (Lap 1),91.720
55,OCO (Lap 2),91.861
56,LEC (Lap 2),91.946
57,LAW (Lap 2),92.047
58,LAW (Lap 3),92.470
59,VER (Lap 2),92.661
60,HAM (Lap 3),92.825
