Position,Name,LapTime
1,LIN (Lap 1),77.282
2,OCO (Lap 2),77.930
3,NOR (Lap 3),78.073
4,OCO (Lap 3),79.282
5,BOR (Lap 2),79.340
6,HUL (Lap 2),79.464
7,ANT (Lap 1),80.240
8,OCO (Lap 1),80.454
9,SAI (Lap 1),81.813
10,SAI (Lap 2),82.372
11,PIA (Lap 1),82.687
12,LIN (Lap 3),84.730
13,LEC (Lap 1),85.243
14,PER (Lap 1),85.472
15,LIN (Lap 2),85.509
16,NOR (Lap 2),85.933
17,GAS (Lap 1),86.243
18,STR (Lap 1),86.775
19,COL (Lap 1),86.808
20,BEA (Lap 2),87.027
21,BEA (Lap 3),87.326
22,STR (Lap 2),87.348
23,BEA (Lap 1),87.529
24,HAD (Lap 1),88.383
25,BOR (Lap 1),88.838
26,NOR (Lap 1),90.581
27,COL (Lap 2),90.925
28,HUL (Lap 3),92.113
29,STR (Lap 3),92.271
30,HUL (Lap 1),92.982
