Position,Name,LapTime
1,BEA (Lap 1),77.112
2,HAD (Lap 3),77.147
3,BEA (Lap 3),77.654
4,ANT (Lap 2),79.050
5,COL (Lap 3),79.353
6,ANT (Lap 1),80.368
7,COL (Lap 1),80.559
8,ALO (Lap 1),80.996
9,VER (Lap 1),81.840
10,LIN (Lap 1),82.281
11,HAD (Lap 1),82.358
12,HAD (Lap 2),82.895
13,PIA (Lap 1),83.014
14,GAS (Lap 1),83.679
15,HUL (Lap 1),83.922
16,COL (Lap 2),84.024
17,BOR (Lap 1),84.874
18,ALB (Lap 2),86.569
19,SAI (Lap 1),87.267
20,BEA (Lap 2),87.693
21,NOR (Lap 1),88.108
22,LAW (Lap 1),88.438
23,HAM (Lap 1),89.203
24,VER (Lap 2),90.608
25,ALO (Lap 2),90.896
26,HAM (Lap 2),91.764
27,HUL (Lap 2),91.795
28,BOT (Lap 1),91.940
29,LIN (Lap 2),92.401
30,ALB (Lap 1),92.536
