Position,Name,LapTime
1,ANT (Lap 1),77.213
2,PER (Lap 1),77.233
3,RUS (Lap 5),77.238
4,LIN (Lap 5),77.256
5,BOT (Lap 5),77.637
6,BOR (Lap 1),77.673
7,PIA (Lap 4),77.771
8,OCO (Lap 1),77.926
9,NOR (Lap 1),78.185
10,HUL (Lap 1),78.246
11,HAM (Lap 4),78.349
12,ALO (Lap 2),78.979
13,BOR (Lap 5),79.007
14,LIN (Lap 1),79.163
15,LAW (Lap 3),79.512
16,PIA (Lap 6),79.516
17,HAD (Lap 1),79.629
18,HUL (Lap 2),79.666
19,HAM (Lap 3),80.064
20,SAI (Lap 2),80.148
21,VER (Lap 6),80.160
22,LEC (Lap 4),80.526
23,HAD (Lap 4),80.948
24,BOT (Lap 3),81.094
25,SAI (Lap 1),81.251
26,PIA (Lap 1),81.333
27,ALB (Lap 2),81.500
28,BOT (Lap 1),81.590
29,VER (Lap 8),81.717
30,VER (Lap 5),82.505
31,LIN (Lap 6),82.799
32,LEC (Lap 1),82.999
33,RUS (Lap 1),83.708
34,HUL (Lap 3),83.811
35,PIA (Lap 8),83.980
36,HAM (Lap 2),84.138
37,PER (Lap 4),84.159
38,LIN (Lap 3),84.259
39,LIN (Lap 4),84.290
40,ALO (Lap 1),84.333
41,BEA (Lap 2),84.526
42,SAI (Lap 4),84.742
43,LAW (Lap 1),84.830
44,BOT (Lap 4),84.938
45,ALO (Lap 3),84.992
46,PER (Lap 3),85.000
47,RUS (Lap 4),85.144
48,BOR (Lap 4),85.286
49,BOT (Lap 6),85.298
50,ALB (Lap 3),85.497
51,COL (Lap 1),85.560
52,LEC (Lap 2),85.654
53,HAM (Lap 1),86.020
54,PER (Lap 2),86.435
55,PIA (Lap 5),86.514
56,RUS (Lap 2),86.603
57,LAW (Lap 4),86.872
58,PIA (Lap 3),87.060
59,LAW (Lap 2),87.295
60,BOT (Lap 2),87.545
61,LEC (Lap 3),87.773
62,GAS (Lap 3),87.880
63,BEA (Lap 3),88.173
64,ALO (Lap 4),88.273
65,NOR (Lap 3),88.288
66,PIA (Lap 7),88.574
67,COL (Lap 3),88.671
68,BEA (Lap 1),88.753
69,RUS (Lap 3),89.085
70,GAS (Lap 1),89.201
71,ANT (Lap 2),89.658
72,HAD (Lap 2),89.704
73,BOR (Lap 3),89.797
74,NOR (Lap 2),89.892
75,HAD (Lap 3),89.911
76,ALB (Lap 1),89.998
77,BOR (Lap 7),90.268
78,GAS (Lap 2),90.365
79,COL (Lap 2),90.454
80,OCO (Lap 2),90.489
81,PIA (Lap 9),91.125
82,ALB (Lap 5),91.153
83,BEA (Lap 4),91.248
84,VER (Lap 7),91.259
85,HAD (Lap 5),91.382
86,BOR (Lap 8),91.393
87,BOR (Lap 2),91.426
88,VER (Lap 2),91.474
89,ANT (Lap 3),91.514
90,SAI (Lap 3),91.969
91,ALB (Lap 4),92.026
92,VER (Lap 3),92.212
93,VER (Lap 1),92.301
94,ALO (Lap 6),92.301
95,PIA (Lap 2),92.654
96,GAS (Lap 4),92.663
97,BOR (Lap 6),92.826
98,VER (Lap 4),92.885
99,LIN (Lap 2),92.970
100,ALO (Lap 5),92.980
