Position,Name,LapTime
1,LIN (Lap 1),77.104
2,VER (Lap 1),77.218
3,LAW (Lap 1),77.270
4,ALB (Lap 2),77.545
5,ANT (Lap 2),77.984
6,BOR (Lap 6),78.135
7,NOR (Lap 3),78.211
8,RUS (Lap 4),78.418
9,HAD (Lap 3),78.850
10,NOR (Lap 4),78.917
11,HAD (Lap 1),79.107
12,BOR (Lap 1),79.210
13,LAW (Lap 4),79.594
14,LAW (Lap 2),79.681
15,ALB (Lap 3),80.268
16,HAD (Lap 2),80.292
17,HAM (Lap 3),80.448
18,VER (Lap 7),80.706
19,STR (Lap 2),80.780
20,VER (Lap 5),81.449
21,BEA (Lap 3),81.722
22,PIA (Lap 1),81.777
23,RUS (Lap 1),81.858
24,BEA (Lap 1),81.893
25,RUS (Lap 3),82.072
26,ANT (Lap 4),82.355
27,BOT (Lap 3),82.437
28,NOR (Lap 2),82.502
29,ALB (Lap 1),82.540
30,VER (Lap 4),82.580
31,BOR (Lap 3),82.717
32,HAM (Lap 1),82.764
33,STR (Lap 5),82.797
34,VER (Lap 3),83.004
35,OCO (Lap 5),83.019
36,RUS (Lap 2),83.267
37,GAS (Lap 1),83.290
38,HUL (Lap 2),83.520
39,OCO (Lap 7),83.667
40,HAM (Lap 5),84.050
41,BOT (Lap 7),84.118
42,OCO (Lap 3),84.274
43,BEA (Lap 4),84.302
44,ALO (Lap 3),84.511
45,BOR (Lap 4),84.867
46,PER (Lap 2),85.116
47,ALO (Lap 4),85.142
48,ALB (Lap 4),85.556
49,ALO (Lap 5),85.605
50,HAM (Lap 4),85.627
51,LEC (Lap 2),85.774
52,BOT (Lap 1),85.904
53,ANT (Lap 3),85.977
54,STR (Lap 6),86.011
55,BEA (Lap 2),86.614
56,PIA (Lap 3),86.944
57,HUL (Lap 1),87.010
58,OCO (Lap 1),87.209
59,HAM (Lap 6),87.216
60,BOR (Lap 2),87.773
61,VER (Lap 6),88.023
62,SAI (Lap 2),88.187
63,PER (Lap 1),88.323
64,BOR (Lap 5),88.451
65,GAS (Lap 4),88.646
66,STR (Lap 1),89.213
67,HUL (Lap 3),89.447
68,PIA (Lap 4),89.459
69,COL (Lap 5),89.490
70,LEC (Lap 1),89.545
71,COL (Lap 2),89.820
72,BOT (Lap 4),89.919
73,LAW (Lap 3),90.116
74,OCO (Lap 4),90.118
75,GAS (Lap 2),90.184
76,BOT (Lap 6),90.314
77,STR (Lap 3),90.426
78,HAM (Lap 2),90.434
79,NOR (Lap 1),90.655
80,COL (Lap 3),90.859
81,SAI (Lap 3),91.067
82,ANT (Lap 5),91.105
83,GAS (Lap 3),91.180
84,VER (Lap 2),91.207
85,OCO (Lap 6),91.292
86,GAS (Lap 5),91.377
87,OCO (Lap 2),91.404
88,COL (Lap 1),91.841
89,LIN (Lap 2),91.980
90,ANT (Lap 1),92.170
91,OCO (Lap 8),92.249
92,STR (Lap 4),92.261
93,ALO (Lap 2),92.285
94,BOT (Lap 5),92.286
95,PIA (Lap 2),92.327
96,SAI (Lap 1),92.426
97,COL (Lap 4),92.507
98,ALO (Lap 1),92.516
99,ANT (Lap 6),92.837
100,BOT (Lap 2),92.840
