Position,Name,LapTime
1,ALO (Lap 1),78.280
2,RUS (Lap 2),78.880
3,RUS (Lap 1),78.968
4,LEC (Lap 2),79.109
5,HAM (Lap 3),79.258
6,VER (Lap 1),79.266
7,STR (Lap 1),80.255
8,PER (Lap 3),80.404
9,RUS (Lap 5),80.487
10,PER (Lap 1),80.662
11,COL (Lap 1),80.805
12,OCO (Lap 1),82.161
13,LIN (Lap 1),82.570
14,RUS (Lap 3),83.047
15,NOR (Lap 1),83.247
16,BEA (Lap 1),83.627
17,HAM (Lap 2),84.090
18,LIN (Lap 2),84.325
19,PER (Lap 5),84.689
20,ALB (Lap 2),84.922
21,BOT (Lap 1),85.733
22,PER (Lap 4),86.153
23,RUS (Lap 4),86.411
24,PER (Lap 2),86.781
25,BOR (Lap 2),87.205
26,ALB (Lap 1),87.975
27,LEC (Lap 1),89.628
28,LIN (Lap 3),90.915
29,BOR (Lap 1),92.238
30,HAM (Lap 1),92.778
