Position,Name,LapTime
1,BEA (Lap 1),77.258
2,COL (Lap 3),77.396
3,BOT (Lap 5),77.492
4,OCO (Lap 2),77.494
5,LAW (Lap 2),77.553
6,LEC (Lap 3),77.584
7,STR (Lap 3),77.813
8,HAM (Lap 2),78.178
9,BOR (Lap 8),78.264
10,ANT (Lap 5),78.279
11,RUS (Lap 2),78.515
12,BOR (Lap 6),78.557
13,PIA (Lap 2),78.603
14,BOR (Lap 9),79.107
15,LIN (Lap 2),79.123
16,PER (Lap 3),79.311
17,SAI (Lap 3),79.576
18,BOR (Lap 3),79.639
19,STR (Lap 7),79.746
20,LIN (Lap 3),79.882
21,BOR (Lap 7),79.944
22,PER (Lap 1),80.093
23,HUL (Lap 2),80.118
24,RUS (Lap 3),80.129
25,ALB (Lap 3),80.671
26,LIN (Lap 4),80.875
27,GAS (Lap 1),81.070
28,HUL (Lap 4),81.076
29,BOT (Lap 3),81.095
30,BOR (Lap 2),81.145
31,ALB (Lap 4),81.325
32,STR (Lap 4),81.473
33,ALB (Lap 2),81.739
34,ALO (Lap 3),81.949
35,PER (Lap 6),81.960
36,BOT (Lap 1),82.238
37,STR (Lap 6),82.613
38,STR (Lap 5),82.679
39,GAS (Lap 2),82.781
40,PIA (Lap 1),83.090
41,BOT (Lap 4),83.413
42,ALO (Lap 2),83.742
43,STR (Lap 2),83.779
44,SAI (Lap 4),83.879
45,HAD (Lap 4),83.981
46,ALB (Lap 5),84.191
47,PER (Lap 8),84.301
48,ALB (Lap 1),84.703
49,PER (Lap 4),84.732
50,ANT (Lap 3),84.991
51,BOR (Lap 5),84.993
52,NOR (Lap 1),85.091
53,OCO (Lap 1),85.401
54,SAI (Lap 1),85.865
55,LAW (Lap 1),86.122
56,RUS (Lap 1),86.169
57,ALB (Lap 6),86.183
58,GAS (Lap 5),86.482
59,COL (Lap 4),86.592
60,LEC (Lap 5),86.619
61,HAM (Lap 5),86.662
62,LIN (Lap 1),86.843
63,BOT (Lap 2),87.025
64,COL (Lap 2),87.035
65,COL (Lap 1),87.325
66,PIA (Lap 4),87.545
67,PER (Lap 7),87.886
68,LEC (Lap 6),87.972
69,LEC (Lap 2),87.999
70,ALO (Lap 1),88.063
71,HAM (Lap 1),88.249
72,HAM (Lap 6),88.430
73,HAM (Lap 4),88.537
74,STR (Lap 1),88.571
75,PER (Lap 2),88.883
76,RUS (Lap 4),89.147
77,HAD (Lap 3),89.189
78,VER (Lap 1),89.309
79,HUL (Lap 3),89.721
80,HUL (Lap 1),89.922
81,ANT (Lap 2),89.926
82,BOR (Lap 10),90.074
83,ANT (Lap 1),90.121
84,LEC (Lap 1),90.270
85,NOR (Lap 3),90.286
86,PER (Lap 5),90.427
87,LEC (Lap 4),90.466
88,HAD (Lap 2),90.478
89,HAD (Lap 1),90.710
90,GAS (Lap 4),90.851
91,PIA (Lap 3),90.882
92,NOR (Lap 2),90.928
93,BOR (Lap 1),90.933
94,ANT (Lap 4),91.053
95,VER (Lap 2),91.557
96,GAS (Lap 3),91.619
97,BOR (Lap 4),91.766
98,SAI (Lap 2),91.979
99,ANT (Lap 6),92.280
100,HAM (Lap 3),92.952
