Position,Name,LapTime
1,ALB (Lap 1),77.199
2,GAS (Lap 1),77.221
3,HUL (Lap 1),77.631
4,ALO (Lap 2),77.817
5,BOR (Lap 2),77.974
6,HAM (Lap 1),78.138
7,OCO (Lap 1),78.172
8,ALO (Lap 1),78.578
9,LIN (Lap 2),79.093
10,PER (Lap 1),79.173
11,LAW (Lap 2),79.296
12,BOR (Lap 3),79.310
13,LIN (Lap 1),79.326
14,LAW (Lap 1),79.420
15,ALO (Lap 3),79.737
16,PER (Lap 3),80.353
17,LEC (Lap 2),80.561
18,OCO (Lap 2),81.475
19,HUL (Lap 5),84.201
20,PER (Lap 2),85.543
21,ANT (Lap 1),85.627
22,BOR (Lap 1),85.999
23,COL (Lap 1),88.340
24,BEA (Lap 1),88.342
25,COL (Lap 2),88.644
26,HUL (Lap 4),89.682
27,HUL (Lap 2),89.803
28,HUL (Lap 3),90.582
29,HAD (Lap 1),90.628
30,LEC (Lap 1),92.657
