Position,Name,LapTime
1,ALB (Lap 2),77.053
2,ALB (Lap 3),77.304
3,HAD (Lap 2),77.450
4,ALB (Lap 5),77.813
5,RUS (Lap 1),78.377
6,RUS (Lap 5),78.556
7,HUL (Lap 1),78.728
8,ALO (Lap 1),79.786
9,HAD (Lap 1),80.086
10,GAS (Lap 2),80.146
11,COL (Lap 2),80.358
12,ANT (Lap 3),81.508
13,VER (Lap 1),81.618
14,SAI (Lap 1),81.777
15,GAS (Lap 3),82.192
16,LAW (Lap 1),82.248
17,HAM (Lap 1),82.534
18,HAM (Lap 2),82.742
19,PER (Lap 1),83.092
20,GAS (Lap 5),83.464
21,GAS (Lap 7),83.510
22,PER (Lap 3),83.546
23,RUS (Lap 3),83.761
24,PIA (Lap 1),84.133
25,NOR (Lap 4),84.602
26,LIN (Lap 2),84.810
27,BEA (Lap 1),85.390
28,GAS (Lap 6),85.516
29,HUL (Lap 2),86.036
30,NOR (Lap 5),86.149
31,PER (Lap 2),86.171
32,RUS (Lap 2),86.215
33,ALB (Lap 4),86.541
34,GAS (Lap 1),86.638
35,LIN (Lap 1),87.216
36,ANT (Lap 2),87.697
37,LAW (Lap 2),87.814
38,ANT (Lap 1),88.939
39,BOT (Lap 2),89.891
40,RUS (Lap 4),89.945
41,ALB (Lap 1),90.645
42,ALB (Lap 6),90.949
43,NOR (Lap 2),91.434
44,NOR (Lap 3),91.604
45,GAS (Lap 4),91.868
46,NOR (Lap 1),91.924
47,HAM (Lap 3),92.417
48,COL (Lap 1),92.634
49,BOT (Lap 1),92.833
50,BOR (Lap 1),92.959
