Position,Name,LapTime
1,GAS (Lap 1),77.001
2,ALO (Lap 2),77.260
3,NOR (Lap 1),77.350
4,PER (Lap 1),77.375
5,LAW (Lap 2),77.378
6,LEC (Lap 5),77.436
7,SAI (Lap 5),77.456
8,VER (Lap 3),77.518
9,HAD (Lap 1),77.629
10,LEC (Lap 4),77.922
11,LEC (Lap 6),78.415
12,PIA (Lap 3),78.562
13,RUS (Lap 1),78.751
14,ANT (Lap 1),78.952
15,GAS (Lap 4),79.057
16,OCO (Lap 4),79.227
17,COL (Lap 4),79.486
18,NOR (Lap 2),79.559
19,BOT (Lap 4),79.637
20,HUL (Lap 2),79.699
21,HUL (Lap 1),79.787
22,HAD (Lap 6),79.934
23,SAI (Lap 6),80.364
24,BEA (Lap 5),80.439
25,VER (Lap 4),80.571
26,SAI (Lap 2),80.791
27,LAW (Lap 4),80.920
28,VER (Lap 2),80.935
29,LEC (Lap 1),81.047
30,LAW (Lap 6),81.178
31,OCO (Lap 2),81.357
32,VER (Lap 1),81.528
33,ALO (Lap 1),81.941
34,BEA (Lap 6),81.988
35,STR (Lap 2),82.022
36,COL (Lap 2),82.074
37,BOT (Lap 5),82.299
38,STR (Lap 3),82.425
39,PER (Lap 2),82.545
40,RUS (Lap 2),82.624
41,BOT (Lap 2),82.743
42,LEC (Lap 2),82.830
43,OCO (Lap 5),83.209
44,ALB (Lap 1),83.354
45,COL (Lap 8),83.470
46,HAD (Lap 5),84.078
47,LIN (Lap 7),84.390
48,BOR (Lap 1),84.400
49,BEA (Lap 2),84.446
50,SAI (Lap 4),84.554
51,COL (Lap 9),84.734
52,HUL (Lap 4),84.746
53,LIN (Lap 6),84.933
54,LIN (Lap 5),85.015
55,OCO (Lap 3),85.035
56,PIA (Lap 2),85.074
57,BOR (Lap 2),85.080
58,BEA (Lap 4),85.115
59,PIA (Lap 1),85.194
60,BEA (Lap 1),85.225
61,BEA (Lap 3),85.386
62,COL (Lap 3),85.582
63,ANT (Lap 3),85.783
64,HAD (Lap 4),85.883
65,HUL (Lap 3),86.064
66,LIN (Lap 2),86.402
67,LAW (Lap 3),86.476
68,BOT (Lap 1),86.669
69,LIN (Lap 1),86.863
70,STR (Lap 4),86.877
71,HAD (Lap 3),86.900
72,GAS (Lap 5),86.918
73,ANT (Lap 4),86.948
74,GAS (Lap 2),87.203
75,HAM (Lap 2),87.313
76,COL (Lap 5),87.360
77,COL (Lap 1),87.639
78,LAW (Lap 5),87.875
79,HAM (Lap 1),87.976
80,NOR (Lap 3),88.211
81,LIN (Lap 4),88.602
82,BOT (Lap 3),88.717
83,ANT (Lap 5),88.749
84,GAS (Lap 3),88.929
85,COL (Lap 7),89.019
86,LEC (Lap 3),89.504
87,LEC (Lap 7),89.796
88,LAW (Lap 1),90.133
89,OCO (Lap 1),90.302
90,HAD (Lap 2),90.601
91,SAI (Lap 1),90.734
92,SAI (Lap 3),91.132
93,ANT (Lap 2),91.314
94,LIN (Lap 3),91.364
95,LEC (Lap 8),91.777
96,COL (Lap 6),92.021
97,STR (Lap 5),92.303
98,HAM (Lap 3),92.782
99,BEA (Lap 7),92.945
100,STR (Lap 1),92.955
