Position,Name,LapTime
1,SAI (Lap 3),77.196
2,LAW (Lap 1),78.455
3,SAI (Lap 1),79.015
4,OCO (Lap 3),79.631
5,RUS (Lap 1),79.769
6,SAI (Lap 4),79.976
7,ANT (Lap 1),80.373
8,BOR (Lap 2),81.541
9,PIA (Lap 1),83.052
10,NOR (Lap 1),83.065
11,LEC (Lap 1),83.084
12,VER (Lap 1),83.207
13,SAI (Lap 2),83.245
14,OCO (Lap 1),83.444
15,HAM (Lap 2),83.830
16,PIA (Lap 3),84.183
17,COL (Lap 1),84.456
18,BOT (Lap 2),84.884
19,STR (Lap 1),85.997
20,HUL (Lap 1),86.755
21,PER (Lap 1),86.985
22,RUS (Lap 2),88.577
23,HUL (Lap 2),88.711
24,BOT (Lap 1),88.724
25,LIN (Lap 1),89.258
26,BOR (Lap 1),89.456
27,ANT (Lap 2),89.605
28,OCO (Lap 2),89.981
29,HAM (Lap 1),90.974
30,PIA (Lap 2),91.354
