Position,Name,LapTime
1,PER (Lap 1),77.537
2,VER (Lap 2),77.610
3,PIA (Lap 1),77.810
4,VER (Lap 1),78.315
5,VER (Lap 7),79.173
6,COL (Lap 1),79.457
7,PER (Lap 2),80.069
8,ANT (Lap 1),80.254
9,LIN (Lap 2),80.404
10,NOR (Lap 1),80.594
11,BOR (Lap 1),80.639
12,RUS (Lap 2),81.444
13,LIN (Lap 1),81.671
14,ANT (Lap 2),82.159
15,GAS (Lap 2),82.262
16,GAS (Lap 4),83.520
17,BOR (Lap 3),83.880
18,ALO (Lap 1),84.053
19,OCO (Lap 2),84.966
20,VER (Lap 4),85.050
21,BOT (Lap 1),85.079
22,LEC (Lap 1),85.308
23,RUS (Lap 1),85.465
24,VER (Lap 8),85.644
25,PIA (Lap 2),86.877
26,HUL (Lap 1),87.081
27,VER (Lap 6),87.433
28,BOR (Lap 2),88.109
29,OCO (Lap 3),88.204
30,HUL (Lap 2),88.221
31,ALO (Lap 2),89.075
32,PIA (Lap 3),89.476
33,GAS (Lap 1),89.588
34,VER (Lap 3),89.651
35,LAW (Lap 1),89.665
36,HUL (Lap 3),89.992
37,OCO (Lap 1),91.430
38,GAS (Lap 3),91.738
39,LEC (Lap 2),91.799
40,VER (Lap 5),91.829
