Position,Name,LapTime
1,GAS (Lap 3),77.255
2,PIA (Lap 2),78.122
3,PIA (Lap 4),78.153
4,ALB (Lap 3),78.193
5,HUL (Lap 5),78.430
6,NOR (Lap 3),78.516
7,HUL (Lap 1),78.585
8,LAW (Lap 5),78.625
9,PIA (Lap 1),78.634
10,HUL (Lap 2),78.636
11,LAW (Lap 6),78.665
12,LEC (Lap 8),79.115
13,PIA (Lap 5),79.172
14,BOT (Lap 2),79.240
15,ANT (Lap 3),79.270
16,VER (Lap 7),79.287
17,VER (Lap 1),79.457
18,ANT (Lap 2),79.653
19,BOT (Lap 4),79.712
20,VER (Lap 3),79.749
21,HAM (Lap 4),79.901
22,OCO (Lap 3),80.337
23,COL (Lap 1),80.347
24,BOR (Lap 1),80.359
25,STR (Lap 2),80.537
26,PIA (Lap 3),80.649
27,STR (Lap 6),80.657
28,HAM (Lap 3),80.702
29,ALB (Lap 1),81.021
30,PER (Lap 2),81.300
31,STR (Lap 3),81.471
32,GAS (Lap 1),81.555
33,ALB (Lap 2),81.592
34,ANT (Lap 4),81.635
35,HAD (Lap 1),81.903
36,GAS (Lap 2),81.950
37,LEC (Lap 1),82.058
38,COL (Lap 3),82.086
39,LEC (Lap 2),82.127
40,PER (Lap 1),82.399
41,BEA (Lap 4),83.093
42,BEA (Lap 1),83.161
43,OCO (Lap 1),83.224
44,OCO (Lap 2),83.298
45,LIN (Lap 4),83.390
46,NOR (Lap 4),83.431
47,LIN (Lap 2),83.479
48,BEA (Lap 3),83.763
49,ALO (Lap 2),83.781
50,VER (Lap 5),84.203
51,LEC (Lap 5),84.808
52,LEC (Lap 4),84.816
53,BOT (Lap 6),84.850
54,LAW (Lap 1),84.992
55,VER (Lap 2),85.517
56,PER (Lap 3),86.281
57,NOR (Lap 2),86.295
58,STR (Lap 5),86.395
59,HAD (Lap 4),86.675
60,HAM (Lap 1),86.746
61,ALB (Lap 4),86.911
62,HAM (Lap 5),86.986
63,HAD (Lap 5),87.121
64,BOT (Lap 3),87.253
65,GAS (Lap 4),87.414
66,VER (Lap 4),87.768
67,COL (Lap 2),87.931
68,LEC (Lap 6),88.087
69,LEC (Lap 3),88.333
70,VER (Lap 8),88.424
71,HAD (Lap 2),88.496
72,HAD (Lap 3),88.694
73,BEA (Lap 5),88.714
74,RUS (Lap 1),88.721
75,STR (Lap 4),88.737
76,BEA (Lap 2),88.788
77,HUL (Lap 3),88.834
78,BOR (Lap 2),89.158
79,BOT (Lap 1),89.701
80,LAW (Lap 2),89.966
81,ALO (Lap 1),89.988
82,STR (Lap 1),90.067
83,LIN (Lap 3),90.079
84,BOT (Lap 5),90.373
85,NOR (Lap 1),90.384
86,OCO (Lap 5),90.541
87,LAW (Lap 3),90.749
88,ANT (Lap 5),91.073
89,ALO (Lap 4),91.110
90,ANT (Lap 1),91.164
91,HAM (Lap 2),91.170
92,LIN (Lap 1),91.179
93,LAW (Lap 4),91.357
94,OCO (Lap 4),91.805
95,PER (Lap 4),91.926
96,LEC (Lap 7),91.976
97,ALO (Lap 3),92.081
98,BEA (Lap 6),92.373
99,HUL (Lap 4),92.904
100,VER (Lap 6),92.944
