Position,Name,LapTime
1,HUL (Lap 1),77.678
2,COL (Lap 1),77.940
3,BEA (Lap 1),78.322
4,SAI (Lap 2),79.395
5,LEC (Lap 2),80.125
6,PER (Lap 1),80.907
7,OCO (Lap 1),80.953
8,HAD (Lap 1),81.533
9,PER (Lap 2),82.372
10,GAS (Lap 2),83.000
11,ANT (Lap 1),83.686
12,PIA (Lap 2),84.428
13,GAS (Lap 3),84.430
14,ALO (Lap 2),84.475
15,VER (Lap 2),85.473
16,OCO (Lap 2),87.445
17,GAS (Lap 1),87.521
18,PIA (Lap 1),88.360
19,BEA (Lap 2),88.453
20,ALO (Lap 1),89.020
21,VER (Lap 1),89.082
22,LIN (Lap 1),89.704
23,NOR (Lap 1),90.002
24,COL (Lap 2),90.037
25,LEC (Lap 1),90.196
26,SAI (Lap 1),90.661
27,HUL (Lap 2),91.823
28,ANT (Lap 2),92.081
29,HUL (Lap 3),92.423
30,ALB (Lap 1),92.457
