Position,Name,LapTime
1,LIN (Lap 1),78.799
2,BOT (Lap 2),79.265
3,STR (Lap 2),79.289
4,ANT (Lap 2),79.635
5,BOT (Lap 1),79.726
6,HAD (Lap 1),79.751
7,SAI (Lap 2),80.579
8,PER (Lap 1),81.152
9,HAD (Lap 2),81.472
10,STR (Lap 1),82.659
11,RUS (Lap 1),82.690
12,COL (Lap 3),83.339
13,ANT (Lap 1),83.386
14,LAW (Lap 1),83.428
15,SAI (Lap 1),83.624
16,GAS (Lap 1),83.760
17,OCO (Lap 1),84.712
18,ALO (Lap 2),84.964
19,COL (Lap 2),85.371
20,GAS (Lap 2),87.409
21,LIN (Lap 2),88.350
22,LEC (Lap 2),88.734
23,LEC (Lap 1),89.406
24,HAM (Lap 1),90.792
25,PIA (Lap 2),90.954
26,PIA (Lap 1),91.258
27,ALO (Lap 1),91.402
28,BEA (Lap 1),91.568
29,COL (Lap 1),92.551
30,VER (Lap 1),92.897
